Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
THERMAX,2026-06-30,5125.1,1,5125.1,2026-07-06,4607.5,-517.6,-10.1,6,Stop loss hit (4612.59),Paper
TRENT,2026-07-03,3317.8,3,9953.4,2026-07-08,2927.8,-1170.0,-11.75,5,Stop loss hit (2986.02),Paper
BDL,2026-07-03,1384.9,7,9694.3,2026-07-24,1239.8,-1015.7,-10.48,21,Stop loss hit (1246.41),Paper
MAZDOCK,2026-07-03,2555.0,3,7665.0,2026-07-24,2298.9,-768.3,-10.02,21,Stop loss hit (2299.5),Paper
TIINDIA,2026-07-03,3090.6,3,9271.8,2026-07-27,2767.0,-970.8,-10.47,24,Stop loss hit (2781.54),Paper
NIACL,2026-06-26,184.63,54,9970.02,2026-07-28,165.57,-1029.24,-10.32,32,Stop loss hit (166.17),Paper
MOTILALOFS,2026-07-01,951.3,10,9513.0,2026-07-29,856.15,-951.5,-10.0,28,Stop loss hit (856.17),Paper
ENRIN,2026-07-03,3549.5,2,7099.0,2026-07-29,3180.9,-737.2,-10.38,26,Stop loss hit (3194.55),Paper
ATGL,2026-07-13,723.9,13,9410.7,2026-07-29,645.55,-1018.55,-10.82,16,Stop loss hit (651.51),Paper
OBEROIRLTY,2026-07-03,1864.7,5,9323.5,2026-08-04,1778.8,-429.5,-4.61,32,Daily trend flipped bearish — price below lower line,Paper
MCX,2026-06-30,2914.5,3,8743.5,2026-08-06,2598.6,-947.7,-10.84,37,Stop loss hit (2623.05),Paper
HDBFS,2026-07-02,752.4,13,9781.2,2026-08-06,675.25,-1002.95,-10.25,35,Stop loss hit (677.16),Paper
LICI,2026-07-03,432.1,23,9938.3,2026-08-07,387.55,-1024.65,-10.31,35,Stop loss hit (388.89),Paper
ADANIPORTS,2026-07-22,1844.0,5,9220.0,2026-08-14,1658.0,-930.0,-10.09,23,Stop loss hit (1659.6),Paper
RECLTD,2026-07-31,374.9,26,9747.4,2026-08-17,335.0,-1037.4,-10.64,17,Stop loss hit (337.41),Paper
